cohort,view,event_count,mean_signed_reversion_atr,median_signed_reversion_atr,positive_return_pct,p10_signed_reversion_atr,p90_signed_reversion_atr,worst5pct_mean_signed_reversion_atr,gap_closure_pct,median_cost_hurdle_atr,mean_to_median_cost_hurdle_ratio,quarter,positive_mean
H226-C4,QUARTER_2019Q2,21,0.31073045026242385,0.0351770622436736,57.14285714285714,-2.557089133188418,3.2231444801166966,-2.9481166326184383,66.66666666666666,0.20960095124705766,1.4824858781111367,2019Q2,True
H226-C4,QUARTER_2019Q3,24,0.46544779440911516,0.5873572955133906,58.333333333333336,-2.163553994165418,2.420940519527398,-3.4966996728820394,66.66666666666666,0.1071216467881925,4.345039572901891,2019Q3,True
H226-C4,QUARTER_2019Q4,17,-0.2685058670202433,-0.3136894752368315,47.05882352941176,-2.4961309394124562,1.2585934232497145,-4.3714043034520165,76.47058823529412,0.1717513951011189,-1.563340238733782,2019Q4,False
H226-C4,QUARTER_2020Q1,27,0.16559127387157216,-0.2172048464873943,48.148148148148145,-1.8721504667966367,2.8101868995064416,-3.91770214911321,55.55555555555556,0.12716294530729214,1.3021975345995416,2020Q1,True
H226-C4,QUARTER_2020Q2,17,0.06429743967217309,-0.1835875314110198,41.17647058823529,-1.45353458490179,1.7185318174054838,-1.723480312669552,64.70588235294117,0.06600900005790421,0.9740708027052416,2020Q2,True
H226-C4,QUARTER_2020Q3,20,0.26619919529713343,0.5369529292641619,70.0,-1.3839641569150656,2.447609082296029,-7.884586327830664,90.0,0.06833569019812827,3.8954636226740664,2020Q3,True
H226-C4,QUARTER_2020Q4,20,-0.5788404959170862,-0.42643422810688836,40.0,-2.822848172820094,1.2655859944358836,-6.176184464125058,70.0,0.09646523346025643,-6.000508941447468,2020Q4,False
H226-C4,QUARTER_2021Q1,13,-0.10126550265542136,-0.1821688584792473,46.15384615384615,-2.668933929246104,2.5005758733948067,-3.829726319333195,84.61538461538461,0.0790751020456793,-1.2806243689312387,2021Q1,False
H226-C4,QUARTER_2021Q2,17,-0.36227213768952826,-0.6659752527786591,35.294117647058826,-2.6534125087124503,2.2714093725896993,-4.369430492204487,76.47058823529412,0.12113818657187854,-2.990569265906672,2021Q2,False
H226-C4,QUARTER_2021Q3,21,-0.13615964437328468,-0.0564668112516896,47.61904761904761,-2.54312609804684,2.4231221417243973,-3.516616017423463,80.95238095238095,0.12134829665157956,-1.1220564946554799,2021Q3,False
H226-C4,QUARTER_2021Q4,20,0.6810152205847961,0.5844221648127366,65.0,-1.449898814708664,2.943674026807917,-3.134753652354628,85.0,0.12779293173027,5.329052329922295,2021Q4,True
H226-C4,QUARTER_2022Q1,18,0.8157310969713085,0.26891438458841865,55.55555555555556,-1.164738007775364,3.4427738123426095,-3.114008302255772,61.111111111111114,0.10437967565314317,7.815037667696992,2022Q1,True
H226-C4,QUARTER_2022Q2,14,0.28679168099370517,0.31644710662025305,50.0,-1.1266159325349083,2.094750104032216,-2.7892619279070443,78.57142857142857,0.09330458362231678,3.073714815068418,2022Q2,True
H226-C4,QUARTER_2022Q3,16,0.2708127188333526,0.006725766998097696,50.0,-0.9192562749031826,1.740063734321193,-3.2146574039443587,93.75,0.10077898846280553,2.6871942551130226,2022Q3,True
